A,B,C
ECK,Cataract 6, Autosomal dominant
CTPP1,Cataract 6, Autosomal dominant
CTPA,Cataract 6, Autosomal dominant
ARCC2,Cataract 6, Autosomal dominant
CTRCT6,Cataract 6, Autosomal dominant
SDHB,Gastrointestinal stromal tumor, Isolated cases
SDHB,Pheochromocytoma, Autosomal dominant
SDHB,Paragangliomas 4, Autosomal dominant
SDH2,Gastrointestinal stromal tumor, Isolated cases
SDH2,Pheochromocytoma, Autosomal dominant
SDH2,Paragangliomas 4, Autosomal dominant
SDHIP,Gastrointestinal stromal tumor, Isolated cases
SDHIP,Pheochromocytoma, Autosomal dominant
SDHIP,Paragangliomas 4, Autosomal dominant
PGL4,Gastrointestinal stromal tumor, Isolated cases
PGL4,Pheochromocytoma, Autosomal dominant
PGL4,Paragangliomas 4, Autosomal dominant
PLA2G2A,Colorectal cancer, Somatic mutation
PLA2B,Colorectal cancer, Somatic mutation
PLA2L,Colorectal cancer, Somatic mutation
MOM1,Colorectal cancer, Somatic mutation
ECE1,Hirschsprung disease, Autosomal dominant
ALPL,Hypophosphatasia, Autosomal dominant
ALPL,Odontohypophosphatasia, Autosomal dominant
HOPS,Hypophosphatasia, Autosomal dominant
HOPS,Odontohypophosphatasia, Autosomal dominant
TNSALP,Hypophosphatasia, Autosomal dominant
TNSALP,Odontohypophosphatasia, Autosomal dominant
CDC42,Takenouchi-Kosaki syndrome, Autosomal dominant
TKS,Takenouchi-Kosaki syndrome, Autosomal dominant
WNT4,Mullerian aplasia and hyperandrogenism, Autosomal dominant
SERKAL,Mullerian aplasia and hyperandrogenism, Autosomal dominant
KDM1A,Cleft palate, Autosomal dominant
LSD1,Cleft palate, Autosomal dominant
AOF2,Cleft palate, Autosomal dominant
BHC110,Cleft palate, Autosomal dominant
KIAA0601,Cleft palate, Autosomal dominant
CPRF,Cleft palate, Autosomal dominant
RPL11,Diamond-Blackfan anemia 7, Autosomal dominant
DBA7,Diamond-Blackfan anemia 7, Autosomal dominant
GRHL3,Van der Woude syndrome 2, Autosomal dominant
SOM,Van der Woude syndrome 2, Autosomal dominant
TFCP2L4,Van der Woude syndrome 2, Autosomal dominant
VWS2,Van der Woude syndrome 2, Autosomal dominant
SELENON,Myopathy, Autosomal dominant
SEPN1,Myopathy, Autosomal dominant
SELN,Myopathy, Autosomal dominant
RSMD1,Myopathy, Autosomal dominant
CFTD,Myopathy, Autosomal dominant
SLC30A2,Zinc deficiency, Autosomal dominant
ZNT2,Zinc deficiency, Autosomal dominant
TNZD,Zinc deficiency, Autosomal dominant
DHDDS,Developmental delay and seizures with or without movement abnormalities, Autosomal dominant
HDS,Developmental delay and seizures with or without movement abnormalities, Autosomal dominant
RP59,Developmental delay and seizures with or without movement abnormalities, Autosomal dominant
DEDSM,Developmental delay and seizures with or without movement abnormalities, Autosomal dominant
ARID1A,Coffin-Siris syndrome 2, Autosomal dominant
C1orf4,Coffin-Siris syndrome 2, Autosomal dominant
B120,Coffin-Siris syndrome 2, Autosomal dominant
SMARCF1,Coffin-Siris syndrome 2, Autosomal dominant
MRD14,Coffin-Siris syndrome 2, Autosomal dominant
CSS2,Coffin-Siris syndrome 2, Autosomal dominant
NR0B2,Obesity, Multifactorial
SHP,Obesity, Multifactorial
KDF1,Ectodermal dysplasia 12, Autosomal dominant
C1orf172,Ectodermal dysplasia 12, Autosomal dominant
ECTD12,Ectodermal dysplasia 12, Autosomal dominant
AHDC1,Xia-Gibbs syndrome, Autosomal dominant
MRD25,Xia-Gibbs syndrome, Autosomal dominant
C1DELp35,Chromosome 1p35 deletion syndrome, Autosomal dominant
DEL1p35,Chromosome 1p35 deletion syndrome, Autosomal dominant
EPB41,Elliptocytosis-1, Autosomal dominant
EL1,Elliptocytosis-1, Autosomal dominant
SDC3,Obesity, Multifactorial
SYND3,Obesity, Multifactorial
SDCN,Obesity, Multifactorial
PUM1,Spinocerebellar ataxia 47, Autosomal dominant
KIAA0099,Spinocerebellar ataxia 47, Autosomal dominant
SCA47,Spinocerebellar ataxia 47, Autosomal dominant
YARS1,Charcot-Marie-Tooth disease, Autosomal dominant
YARS,Charcot-Marie-Tooth disease, Autosomal dominant
CMTDIC,Charcot-Marie-Tooth disease, Autosomal dominant
TYRRS,Charcot-Marie-Tooth disease, Autosomal dominant
YTS,Charcot-Marie-Tooth disease, Autosomal dominant
YRS,Charcot-Marie-Tooth disease, Autosomal dominant
GJB4,Erythrokeratodermia variabilis et progressiva 2, Autosomal dominant
CX30.3,Erythrokeratodermia variabilis et progressiva 2, Autosomal dominant
EKVP2,Erythrokeratodermia variabilis et progressiva 2, Autosomal dominant
GJB3,Deafness, Autosomal dominant
GJB3,Erythrokeratodermia variabilis et progressiva 1, Autosomal dominant
CX31,Deafness, Autosomal dominant
CX31,Erythrokeratodermia variabilis et progressiva 1, Autosomal dominant
DFNA2B,Deafness, Autosomal dominant
DFNA2B,Erythrokeratodermia variabilis et progressiva 1, Autosomal dominant
EKVP1,Deafness, Autosomal dominant
EKVP1,Erythrokeratodermia variabilis et progressiva 1, Autosomal dominant
COL8A2,Corneal dystrophy, Autosomal dominant
COL8A2,Corneal dystrophy, Autosomal dominant
FECD1,Corneal dystrophy, Autosomal dominant
FECD1,Corneal dystrophy, Autosomal dominant
PPCD2,Corneal dystrophy, Autosomal dominant
PPCD2,Corneal dystrophy, Autosomal dominant
MACF1,Lissencephaly 9 with complex brainstem malformation, Autosomal dominant
ACF7,Lissencephaly 9 with complex brainstem malformation, Autosomal dominant
KIAA1251,Lissencephaly 9 with complex brainstem malformation, Autosomal dominant
LIS9,Lissencephaly 9 with complex brainstem malformation, Autosomal dominant
COL9A2,Epiphyseal dysplasia, Autosomal dominant
EDM2,Epiphyseal dysplasia, Autosomal dominant
STL5,Epiphyseal dysplasia, Autosomal dominant
KCNQ4,Deafness, Autosomal dominant
DFNA2A,Deafness, Autosomal dominant
SLC2A1,Dystonia 9, Autosomal dominant
SLC2A1,GLUT1 deficiency syndrome 1, Autosomal dominant
SLC2A1,Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
SLC2A1,GLUT1 deficiency syndrome 2, Autosomal dominant
SLC2A1,Epilepsy, Autosomal dominant
GLUT1,Dystonia 9, Autosomal dominant
GLUT1,GLUT1 deficiency syndrome 1, Autosomal dominant
GLUT1,Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
GLUT1,GLUT1 deficiency syndrome 2, Autosomal dominant
GLUT1,Epilepsy, Autosomal dominant
HTLVR,Dystonia 9, Autosomal dominant
HTLVR,GLUT1 deficiency syndrome 1, Autosomal dominant
HTLVR,Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
HTLVR,GLUT1 deficiency syndrome 2, Autosomal dominant
HTLVR,Epilepsy, Autosomal dominant
DYT18,Dystonia 9, Autosomal dominant
DYT18,GLUT1 deficiency syndrome 1, Autosomal dominant
DYT18,Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
DYT18,GLUT1 deficiency syndrome 2, Autosomal dominant
DYT18,Epilepsy, Autosomal dominant
PED,Dystonia 9, Autosomal dominant
PED,GLUT1 deficiency syndrome 1, Autosomal dominant
PED,Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
PED,GLUT1 deficiency syndrome 2, Autosomal dominant
PED,Epilepsy, Autosomal dominant
GLUT1DS,Dystonia 9, Autosomal dominant
GLUT1DS,GLUT1 deficiency syndrome 1, Autosomal dominant
GLUT1DS,Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
GLUT1DS,GLUT1 deficiency syndrome 2, Autosomal dominant
GLUT1DS,Epilepsy, Autosomal dominant
EIG12,Dystonia 9, Autosomal dominant
EIG12,GLUT1 deficiency syndrome 1, Autosomal dominant
EIG12,Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
EIG12,GLUT1 deficiency syndrome 2, Autosomal dominant
EIG12,Epilepsy, Autosomal dominant
DYT9,Dystonia 9, Autosomal dominant
DYT9,GLUT1 deficiency syndrome 1, Autosomal dominant
DYT9,Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
DYT9,GLUT1 deficiency syndrome 2, Autosomal dominant
DYT9,Epilepsy, Autosomal dominant
SDCHCN,Dystonia 9, Autosomal dominant
SDCHCN,GLUT1 deficiency syndrome 1, Autosomal dominant
SDCHCN,Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
SDCHCN,GLUT1 deficiency syndrome 2, Autosomal dominant
SDCHCN,Epilepsy, Autosomal dominant
MPL,Thrombocythemia 2, Somatic mutation
TPOR,Thrombocythemia 2, Somatic mutation
MPLV,Thrombocythemia 2, Somatic mutation
THCYT2,Thrombocythemia 2, Somatic mutation
ELOVL1,Ichthyotic keratoderma, Autosomal dominant
SSC1,Ichthyotic keratoderma, Autosomal dominant
IKSHD,Ichthyotic keratoderma, Autosomal dominant
PTOS1,Ptosis, Autosomal dominant
PTCH2,Basal cell nevus syndrome, Autosomal dominant
UROD,Porphyria, Autosomal dominant
UROD,Porphyria cutanea tarda, Autosomal dominant
RAD54L,Breast cancer, Somatic mutation
HR54,Breast cancer, Somatic mutation
HRAD54,Breast cancer, Somatic mutation
OFC13,Orofacial cleft 13, Autosomal dominant
PAINQTL1,Pain sensitivity QTL1, Autosomal dominant
FOXE3,Aortic aneurysm, Autosomal dominant
FKHL12,Aortic aneurysm, Autosomal dominant
ASMD,Aortic aneurysm, Autosomal dominant
CTRCT34,Aortic aneurysm, Autosomal dominant
ASGD2,Aortic aneurysm, Autosomal dominant
AAT11,Aortic aneurysm, Autosomal dominant
CPT2,CPT II deficiency, Autosomal dominant
CPT2,Encephalopathy, Autosomal dominant
IIAE4,CPT II deficiency, Autosomal dominant
IIAE4,Encephalopathy, Autosomal dominant
PCSK9,Hypercholesterolemia, Autosomal dominant
PCSK9,Low density lipoprotein cholesterol level QTL 1, Autosomal dominant
NARC1,Hypercholesterolemia, Autosomal dominant
NARC1,Low density lipoprotein cholesterol level QTL 1, Autosomal dominant
HCHOLA3,Hypercholesterolemia, Autosomal dominant
HCHOLA3,Low density lipoprotein cholesterol level QTL 1, Autosomal dominant
FH3,Hypercholesterolemia, Autosomal dominant
FH3,Low density lipoprotein cholesterol level QTL 1, Autosomal dominant
LDLCQ1,Hypercholesterolemia, Autosomal dominant
LDLCQ1,Low density lipoprotein cholesterol level QTL 1, Autosomal dominant
FHCL3,Hypercholesterolemia, Autosomal dominant
FHCL3,Low density lipoprotein cholesterol level QTL 1, Autosomal dominant
DAB1,Spinocerebellar ataxia 37, Autosomal dominant
SCA37,Spinocerebellar ataxia 37, Autosomal dominant
NFIA,Brain malformations with or without urinary tract defects, Autosomal dominant
BRMUTD,Brain malformations with or without urinary tract defects, Autosomal dominant
FOXD3,Autoimmune disease, Autosomal dominant
AIS1,Autoimmune disease, Autosomal dominant
VAMAS2,Autoimmune disease, Autosomal dominant
SPG29,Spastic paraplegia 29, Autosomal dominant
TNNI3K,Cardiac conduction disease with or without dilated cardiomyopathy, Autosomal dominant
CCDD,Cardiac conduction disease with or without dilated cardiomyopathy, Autosomal dominant
NEXN,Cardiomyopathy, Autosomal dominant
NEXN,Cardiomyopathy, Autosomal dominant
NELIN,Cardiomyopathy, Autosomal dominant
NELIN,Cardiomyopathy, Autosomal dominant
CMD1CC,Cardiomyopathy, Autosomal dominant
CMD1CC,Cardiomyopathy, Autosomal dominant
CMH20,Cardiomyopathy, Autosomal dominant
CMH20,Cardiomyopathy, Autosomal dominant
ZNF644,Myopia 21, Autosomal dominant
MYP21,Myopia 21, Autosomal dominant
GLML,Glomuvenous malformations, Autosomal dominant
GVM,Glomuvenous malformations, Autosomal dominant
VMGLOM,Glomuvenous malformations, Autosomal dominant
GFI1,Neutropenia, Autosomal dominant
GFI1,Neutropenia, Autosomal dominant
ZNF163,Neutropenia, Autosomal dominant
ZNF163,Neutropenia, Autosomal dominant
SCN2,Neutropenia, Autosomal dominant
SCN2,Neutropenia, Autosomal dominant
RPL5,Diamond-Blackfan anemia 6, Autosomal dominant
DBA6,Diamond-Blackfan anemia 6, Autosomal dominant
ABCA4,Macular degeneration, Autosomal dominant
ABCR,Macular degeneration, Autosomal dominant
STGD1,Macular degeneration, Autosomal dominant
FFM,Macular degeneration, Autosomal dominant
RP19,Macular degeneration, Autosomal dominant
CORD3,Macular degeneration, Autosomal dominant
ARMD2,Macular degeneration, Autosomal dominant
WS2B,Waardenburg syndrome, Autosomal dominant
HYPT5,Hypotrichosis 5, Autosomal dominant
MUHH2,Hypotrichosis 5, Autosomal dominant
COL11A1,Stickler syndrome, Autosomal dominant
COL11A1,Marshall syndrome, Autosomal dominant
STL2,Stickler syndrome, Autosomal dominant
STL2,Marshall syndrome, Autosomal dominant
DFNA37,Stickler syndrome, Autosomal dominant
DFNA37,Marshall syndrome, Autosomal dominant
VUR,Vesicoureteral reflux, Autosomal dominant
SLC25A24,Fontaine progeroid syndrome, Autosomal dominant
SCAMC1,Fontaine progeroid syndrome, Autosomal dominant
SORT1,[Low density lipoprotein cholesterol level QTL6], Autosomal dominant
NT3,[Low density lipoprotein cholesterol level QTL6], Autosomal dominant
LDLCQ6,[Low density lipoprotein cholesterol level QTL6], Autosomal dominant
GNAI3,Auriculocondylar syndrome 1, Autosomal dominant
ARCND1,Auriculocondylar syndrome 1, Autosomal dominant
KCNA2,Epileptic encephalopathy, Autosomal dominant
EIEE32,Epileptic encephalopathy, Autosomal dominant
KCND3,Brugada syndrome 9, Autosomal dominant
KCND3,Spinocerebellar ataxia 19, Autosomal dominant
KCND3S,Brugada syndrome 9, Autosomal dominant
KCND3S,Spinocerebellar ataxia 19, Autosomal dominant
KCND3L,Brugada syndrome 9, Autosomal dominant
KCND3L,Spinocerebellar ataxia 19, Autosomal dominant
SCA19,Brugada syndrome 9, Autosomal dominant
SCA19,Spinocerebellar ataxia 19, Autosomal dominant
SCA22,Brugada syndrome 9, Autosomal dominant
SCA22,Spinocerebellar ataxia 19, Autosomal dominant
BRGDA9,Brugada syndrome 9, Autosomal dominant
BRGDA9,Spinocerebellar ataxia 19, Autosomal dominant
SLC16A1,Monocarboxylate transporter 1 deficiency, Autosomal dominant
SLC16A1,Hyperinsulinemic hypoglycemia, Autosomal dominant
SLC16A1,Erythrocyte lactate transporter defect, Autosomal dominant
MCT1,Monocarboxylate transporter 1 deficiency, Autosomal dominant
MCT1,Hyperinsulinemic hypoglycemia, Autosomal dominant
MCT1,Erythrocyte lactate transporter defect, Autosomal dominant
HHF7,Monocarboxylate transporter 1 deficiency, Autosomal dominant
HHF7,Hyperinsulinemic hypoglycemia, Autosomal dominant
HHF7,Erythrocyte lactate transporter defect, Autosomal dominant
MCT1D,Monocarboxylate transporter 1 deficiency, Autosomal dominant
MCT1D,Hyperinsulinemic hypoglycemia, Autosomal dominant
MCT1D,Erythrocyte lactate transporter defect, Autosomal dominant
PTPN22,Systemic lupus erythematosus susceptibility to, Autosomal dominant
PEP,Systemic lupus erythematosus susceptibility to, Autosomal dominant
PTPN8,Systemic lupus erythematosus susceptibility to, Autosomal dominant
LYP,Systemic lupus erythematosus susceptibility to, Autosomal dominant
NRAS,Noonan syndrome 6, Autosomal dominant
ALPS4,Noonan syndrome 6, Autosomal dominant
NS6,Noonan syndrome 6, Autosomal dominant
CMNS,Noonan syndrome 6, Autosomal dominant
NCMS,Noonan syndrome 6, Autosomal dominant
VANGL1,Caudal regression syndrome, Autosomal dominant
VANGL1,Neural tube defects, Autosomal dominant
STBM2,Caudal regression syndrome, Autosomal dominant
STBM2,Neural tube defects, Autosomal dominant
ATP1A1,Charcot-Marie-Tooth disease, Autosomal dominant
ATP1A1,Hypomagnesemia, Autosomal dominant
CMT2DD,Charcot-Marie-Tooth disease, Autosomal dominant
CMT2DD,Hypomagnesemia, Autosomal dominant
HOMGSMR2,Charcot-Marie-Tooth disease, Autosomal dominant
HOMGSMR2,Hypomagnesemia, Autosomal dominant
NOTCH2,Hajdu-Cheney syndrome, Autosomal dominant
NOTCH2,Alagille syndrome 2, Autosomal dominant
AGS2,Hajdu-Cheney syndrome, Autosomal dominant
AGS2,Alagille syndrome 2, Autosomal dominant
HJCYS,Hajdu-Cheney syndrome, Autosomal dominant
HJCYS,Alagille syndrome 2, Autosomal dominant
DEL1q21,Chromosome 1q21.1 deletion syndrome, Isolated cases
C1DELq21,Chromosome 1q21.1 deletion syndrome, Isolated cases
DFNA49,Deafness, Autosomal dominant
DFNA7,Deafness, Autosomal dominant
DUP1q21,Chromosome 1q21.1 duplication syndrome, Isolated cases
C1DUPq21,Chromosome 1q21.1 duplication syndrome, Isolated cases
RFH1,Nephropathy-hypertension, Autosomal dominant
AORF,Nephropathy-hypertension, Autosomal dominant
GJA5,Atrial fibrillation, Autosomal dominant
GJA5,Atrial standstill, Autosomal dominant
CX40,Atrial fibrillation, Autosomal dominant
CX40,Atrial standstill, Autosomal dominant
ATFB11,Atrial fibrillation, Autosomal dominant
ATFB11,Atrial standstill, Autosomal dominant
GJA8,Cataract 1, Autosomal dominant
CX50,Cataract 1, Autosomal dominant
CTRCT1,Cataract 1, Autosomal dominant
CZP1,Cataract 1, Autosomal dominant
CAE1,Cataract 1, Autosomal dominant
NOTCH2NLC,Neuronal intranuclear inclusion disease, Autosomal dominant
NIID,Neuronal intranuclear inclusion disease, Autosomal dominant
SF3B4,Acrofacial dysostosis 1, Autosomal dominant
SF3B49,Acrofacial dysostosis 1, Autosomal dominant
SAP49,Acrofacial dysostosis 1, Autosomal dominant
AFD1,Acrofacial dysostosis 1, Autosomal dominant
PRPF3,Retinitis pigmentosa 18, Autosomal dominant
HPRP3,Retinitis pigmentosa 18, Autosomal dominant
RP18,Retinitis pigmentosa 18, Autosomal dominant
HRM2,Hair, Autosomal dominant
ZNF687,Paget disease of bone 6, Autosomal dominant
KIAA1441,Paget disease of bone 6, Autosomal dominant
PDB6,Paget disease of bone 6, Autosomal dominant
POGZ,White-Sutton syndrome, Autosomal dominant
KIAA0461,White-Sutton syndrome, Autosomal dominant
MRD37,White-Sutton syndrome, Autosomal dominant
WHSUS,White-Sutton syndrome, Autosomal dominant
FLG,Ichthyosis vulgaris, Autosomal dominant
ATOD2,Ichthyosis vulgaris, Autosomal dominant
LOR,Vohwinkel syndrome with ichthyosis, Autosomal dominant
GATAD2B,Mental retardation, Autosomal dominant
KIAA1150,Mental retardation, Autosomal dominant
p68,Mental retardation, Autosomal dominant
MRD18,Mental retardation, Autosomal dominant
RPS27,Diamond-Blackfan anemia 17, Autosomal dominant
MPS1,Diamond-Blackfan anemia 17, Autosomal dominant
DBA17,Diamond-Blackfan anemia 17, Autosomal dominant
TPM3,CAP myopathy 1, Autosomal dominant
TPM3,Nemaline myopathy 1, Autosomal dominant
TPM3,Myopathy, Autosomal dominant
NEM1,CAP myopathy 1, Autosomal dominant
NEM1,Nemaline myopathy 1, Autosomal dominant
NEM1,Myopathy, Autosomal dominant
CFTD,CAP myopathy 1, Autosomal dominant
CFTD,Nemaline myopathy 1, Autosomal dominant
CFTD,Myopathy, Autosomal dominant
CAPM1,CAP myopathy 1, Autosomal dominant
CAPM1,Nemaline myopathy 1, Autosomal dominant
CAPM1,Myopathy, Autosomal dominant
ADAR,Dyschromatosis symmetrica hereditaria, Autosomal dominant
DRADA,Dyschromatosis symmetrica hereditaria, Autosomal dominant
DSH,Dyschromatosis symmetrica hereditaria, Autosomal dominant
DSRAD,Dyschromatosis symmetrica hereditaria, Autosomal dominant
IFI4,Dyschromatosis symmetrica hereditaria, Autosomal dominant
G1P1,Dyschromatosis symmetrica hereditaria, Autosomal dominant
AGS6,Dyschromatosis symmetrica hereditaria, Autosomal dominant
KCNN3,Zimmermann-Laband syndrome 3, Autosomal dominant
SK3,Zimmermann-Laband syndrome 3, Autosomal dominant
SKCA3,Zimmermann-Laband syndrome 3, Autosomal dominant
ZLS3,Zimmermann-Laband syndrome 3, Autosomal dominant
PMVK,Porokeratosis 1, Autosomal dominant
PMK,Porokeratosis 1, Autosomal dominant
POROK1,Porokeratosis 1, Autosomal dominant
MUC1,Medullary cystic kidney disease 1, Autosomal dominant
PUM,Medullary cystic kidney disease 1, Autosomal dominant
MCKD1,Medullary cystic kidney disease 1, Autosomal dominant
GBA,Parkinson disease, Multifactorial
GBA,Lewy body dementia, Autosomal dominant
PKLR,Adenosine triphosphate, Autosomal dominant
PK1,Adenosine triphosphate, Autosomal dominant
FDPS,Porokeratosis 9, Autosomal dominant
FPS,Porokeratosis 9, Autosomal dominant
POROK9,Porokeratosis 9, Autosomal dominant
ASH1L,Mental retardation, Autosomal dominant
KIAA1420,Mental retardation, Autosomal dominant
ASH1,Mental retardation, Autosomal dominant
MRD52,Mental retardation, Autosomal dominant
MSTO1,Myopathy, Autosomal dominant
MMYAT,Myopathy, Autosomal dominant
RIT1,Noonan syndrome 8, Autosomal dominant
RIT,Noonan syndrome 8, Autosomal dominant
ROC1,Noonan syndrome 8, Autosomal dominant
NS8,Noonan syndrome 8, Autosomal dominant
LMNA,Muscular dystrophy, Autosomal dominant
LMNA,Lipodystrophy, Autosomal dominant
LMNA,Cardiomyopathy, Autosomal dominant
LMNA,Heart-hand syndrome, Autosomal dominant
LMNA,Hutchinson-Gilford progeria, Autosomal dominant
LMNA,Emery-Dreifuss muscular dystrophy 2, Autosomal dominant
LMNA,Malouf syndrome, Autosomal dominant
LMN1,Muscular dystrophy, Autosomal dominant
LMN1,Lipodystrophy, Autosomal dominant
LMN1,Cardiomyopathy, Autosomal dominant
LMN1,Heart-hand syndrome, Autosomal dominant
LMN1,Hutchinson-Gilford progeria, Autosomal dominant
LMN1,Emery-Dreifuss muscular dystrophy 2, Autosomal dominant
LMN1,Malouf syndrome, Autosomal dominant
EMD2,Muscular dystrophy, Autosomal dominant
EMD2,Lipodystrophy, Autosomal dominant
EMD2,Cardiomyopathy, Autosomal dominant
EMD2,Heart-hand syndrome, Autosomal dominant
EMD2,Hutchinson-Gilford progeria, Autosomal dominant
EMD2,Emery-Dreifuss muscular dystrophy 2, Autosomal dominant
EMD2,Malouf syndrome, Autosomal dominant
FPLD2,Muscular dystrophy, Autosomal dominant
FPLD2,Lipodystrophy, Autosomal dominant
FPLD2,Cardiomyopathy, Autosomal dominant
FPLD2,Heart-hand syndrome, Autosomal dominant
FPLD2,Hutchinson-Gilford progeria, Autosomal dominant
FPLD2,Emery-Dreifuss muscular dystrophy 2, Autosomal dominant
FPLD2,Malouf syndrome, Autosomal dominant
CMD1A,Muscular dystrophy, Autosomal dominant
CMD1A,Lipodystrophy, Autosomal dominant
